ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3
1,VanderZaag,2022,Journal of Environmental Quality,Manitoba,2016,2018,Multiple Years,Year-Round,Farm,Micrometeorological,Swine,"Growers, Finishers",Indoor,NA,Liquid,Intermittent Agitation,Storage,NA,F,T,F,F
2,Romero,2022,Science of the Total Environment,Alberta,2019,2019,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Steers,Indoor,Others,Solid,"Stockpile, Compost, pyrolysis",Storage,NA,T,T,T,F
3,Turner,2022,"Resources, Conservation & Recycling",National,2019,2019,Single Year,Growing,LCA,Mixed,Poultry,Layers,Mixed,Others,Liquid,NA,"Storage, Field",Annual crop,F,T,T,T
4,Gong,2022,Frontiers of Environmental Science & Engineering,Alberta,2019,2019,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F
5,Mahato,2022,Bioresource Technology,Quebec,2020,2020,Single Year,Growing,Pilot,Incubation,Poultry,Whole herd,Indoor,NA,"Solid, Liquid",Digester,Storage,NA,T,T,F,F
6,Wedwitschka,2022,Waste Management,Alberta,2020,2020,Single Year,NA,Pilot,Incubation,Dairy Cattle,Whole herd,Indoor,NA,"Solid, Liquid",Digester,Storage,NA,F,T,F,F
7,Abbasi,2021,Biosystems Engineering,Ontario,2012,2015,Multiple Years,Growing,Farm,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,F,F
8,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Others,Solid,NA,Enteric,NA,F,T,F,F
9,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,"Animal chamber, Incubation",Dairy Cattle,Cows,Indoor,Others,"Solid, Liquid",Digester,Enteric,NA,F,T,F,F
10,Holtshausen,2021,Animals,Regional,NA,NA,Single Year,Growing,LCA,Mixed,Dairy Cattle,Cows,Indoor,Others,Solid,Stockpile,"Enteric, Field, Storage","Annual crop, Grass",T,T,T,F
11,Hung,2021,"Agriculture, Ecosystems and Environment",Quebec,2018,2019,Single Year,Non-Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,"Solid, Liquid",Compost,Field,Annual crop,F,F,T,F
12,Hung,2021,Applied Soil Ecology,Quebec,2071,2100,Single Year,Non-Growing,Field,Modelling,Dairy Cattle,Cows,Indoor,NA,"Solid, Liquid",Compost,Field,Annual crop,F,F,T,F
13,Pokharel,2021,Journal of Environmental Management,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,F,F,T,F
